etudiant_id,age,genre,niveau_etudes,nb_connexions_semaine,temps_etude_hebdo,exercices_completes_pct,videos_vues_pct,participation_forums,nb_devoirs_rendus,revenu_famille,score_motivation,nombre_absences,acces_internet,note_mi_parcours,note_finale,reussite
1,23,M,L3,9.7,9.2,65.0,73.5,3,8,Élevé,5.2,3,Stable,10.17,9.03,0
2,17,M,M2,8.3,12.2,59.4,81.0,1,8,Bas,7.8,2,Instable,12.08,3.71,0
3,25,F,L2,9.0,10.7,83.6,60.9,10,8,Moyen,8.2,1,Stable,10.88,6.62,0
4,26,M,L3,10.3,8.1,33.2,75.8,5,9,Moyen,6.5,5,Stable,5.5,0.0,0
5,17,M,L2,5.6,10.6,26.2,91.7,6,9,Élevé,5.0,1,Stable,8.16,10.42,1
6,17,F,M1,10.6,13.0,68.8,44.4,6,9,Moyen,7.0,1,Stable,14.4,17.85,1
7,22,F,L2,3.9,8.2,76.2,53.5,9,9,Moyen,6.1,4,Limité,10.94,7.45,0
8,20,F,L3,9.0,8.0,44.7,44.4,5,5,Moyen,6.1,2,Stable,7.5,3.0,0
9,21,M,L2,8.5,5.2,86.7,79.3,4,8,Moyen,5.6,5,Instable,7.34,7.55,0
10,17,F,L2,6.2,14.0,96.7,79.8,5,8,Moyen,8.2,2,Stable,16.59,13.18,1
11,26,F,L3,7.9,14.7,79.6,30.0,4,9,Moyen,6.9,4,Stable,12.5,13.66,1
12,25,M,L2,6.1,13.2,39.3,70.9,9,7,Moyen,8.4,3,Stable,8.43,9.31,0
13,22,F,M1,4.8,16.8,78.7,48.8,4,5,Bas,8.9,1,Stable,12.34,12.9,1
14,27,M,L2,6.9,12.4,76.1,77.5,3,6,Bas,7.3,1,Stable,10.85,13.06,1
15,24,M,L3,4.7,14.0,95.7,40.4,6,7,Moyen,5.6,2,Stable,13.37,13.56,1
16,17,F,L2,9.0,13.5,73.3,61.0,5,6,Bas,8.4,4,Limité,12.47,13.93,1
17,23,M,L2,4.5,11.5,85.5,85.7,1,8,Moyen,7.3,1,Stable,11.63,7.14,0
18,17,M,L2,10.1,9.3,81.5,74.0,5,6,Bas,10.0,2,Limité,12.75,15.79,1
19,26,F,L1,4.5,23.1,96.4,54.3,5,6,Moyen,7.1,2,Stable,17.84,20.0,1
20,21,F,L1,6.3,9.7,56.5,32.5,3,10,Moyen,7.8,2,Stable,13.73,13.87,1
21,21,F,L3,6.1,8.7,83.4,60.2,9,8,Moyen,7.0,1,Stable,9.71,12.17,1
22,18,F,L3,12.0,14.2,92.8,70.5,7,8,Moyen,6.3,2,Stable,14.97,15.11,1
23,28,F,L3,9.0,13.3,70.8,99.7,4,9,Bas,6.0,2,Stable,12.88,16.54,1
24,21,M,L1,7.4,5.0,76.4,87.0,8,6,Bas,7.0,2,Stable,8.72,7.69,0
25,19,M,L2,9.5,17.6,88.7,62.3,6,10,Moyen,7.4,5,Stable,15.39,10.96,1
26,20,M,L1,1.7,11.5,71.8,88.9,9,7,Élevé,8.6,2,Instable,13.48,16.83,1
27,24,M,L3,7.9,6.4,62.2,69.3,3,4,Moyen,7.1,10,Stable,8.57,0.0,0
28,23,F,M1,14.0,17.9,76.4,75.1,4,8,Moyen,5.7,2,Limité,16.72,18.46,1
29,24,M,L1,8.4,15.1,80.0,94.2,5,8,Moyen,5.9,3,Stable,10.56,9.29,0
30,24,M,L3,8.2,5.7,60.1,42.2,3,7,Moyen,4.1,1,Stable,7.8,3.51,0
31,32,M,L1,9.6,20.9,63.3,59.0,6,6,Moyen,9.5,2,Stable,17.24,19.69,1
32,19,M,L1,10.7,15.3,87.1,72.4,7,9,Moyen,5.5,3,Stable,15.79,12.78,1
33,19,F,L1,2.0,11.9,90.0,83.3,3,8,Bas,8.2,3,Limité,14.55,16.61,1
34,17,M,L1,3.0,20.0,84.7,71.6,6,7,Bas,7.0,1,Instable,18.18,20.0,1
35,25,M,L3,8.6,12.8,51.3,85.2,3,5,Moyen,7.0,6,Stable,7.51,2.74,0
36,27,M,M1,5.9,11.9,90.8,90.4,3,8,Moyen,6.3,0,Stable,15.25,20.0,1
37,21,M,L1,11.9,8.7,77.7,92.0,4,8,Moyen,5.1,3,Instable,12.92,12.09,1
38,17,F,L2,7.1,14.9,84.2,75.3,6,4,Moyen,4.8,2,Stable,13.14,15.09,1
39,17,M,L3,2.2,14.4,63.0,71.4,2,9,Bas,9.6,4,Stable,16.38,20.0,1
40,25,M,M2,4.2,12.1,84.7,89.1,2,9,Moyen,6.7,2,Stable,13.68,19.43,1
41,25,M,L3,1.0,8.1,69.3,71.5,9,7,Bas,8.5,1,Stable,7.79,10.19,1
42,24,F,L1,7.3,12.6,66.2,73.7,2,10,Élevé,9.0,2,Stable,12.88,12.47,1
43,18,F,L3,7.4,11.7,34.0,72.5,3,9,Bas,5.8,3,Stable,7.87,0.38,0
44,23,F,L2,6.7,5.3,67.1,81.9,9,7,Moyen,7.3,6,Limité,10.8,8.07,0
45,22,F,M2,11.2,4.6,83.1,63.4,10,7,Moyen,6.6,4,Stable,11.14,12.97,1
46,23,F,L2,11.6,14.8,86.2,83.7,6,8,Bas,4.4,2,Limité,13.32,14.77,1
47,26,M,L3,7.5,0.0,54.8,66.6,7,8,Bas,6.2,2,Instable,8.96,0.0,0
48,23,M,L1,1.6,13.0,81.1,63.2,5,7,Bas,7.6,3,Stable,14.76,17.63,1
49,25,F,L2,9.9,9.6,78.2,44.6,10,7,Moyen,5.6,3,Stable,10.48,12.54,1
50,22,M,M1,9.7,18.5,69.5,86.5,6,6,Moyen,5.9,2,Stable,14.1,13.47,1
51,23,F,L3,8.9,9.5,80.4,58.2,5,6,Moyen,6.2,2,Instable,12.85,15.66,1
52,25,M,L2,10.9,15.3,64.2,65.6,3,7,Bas,10.0,6,Stable,12.04,14.07,1
53,17,F,M1,4.5,10.0,95.0,31.2,7,6,Moyen,3.2,4,Limité,12.32,6.39,0
54,20,F,M1,14.0,12.6,69.1,73.0,8,6,Bas,7.4,4,Stable,12.13,16.32,1
55,19,M,L2,5.1,15.7,79.1,54.6,3,9,Élevé,6.0,1,Instable,12.67,8.39,0
56,18,F,L2,10.2,9.7,83.4,75.4,2,5,Moyen,5.3,2,Stable,8.95,7.84,0
57,20,F,L2,2.9,17.0,84.2,55.4,13,6,Élevé,6.0,7,Stable,14.59,11.56,1
58,29,F,L3,5.2,7.0,34.8,67.8,2,8,Élevé,7.7,2,Instable,4.72,0.0,0
59,17,M,L2,12.5,13.5,91.6,29.7,3,10,Moyen,7.8,3,Instable,12.89,14.65,1
60,26,M,L1,7.2,16.6,71.9,84.6,4,7,Moyen,6.8,2,Stable,11.28,17.4,1
61,17,F,M1,10.5,15.3,40.5,56.2,4,8,Moyen,8.5,5,Stable,8.22,12.31,1
62,20,M,M1,8.7,21.6,80.4,46.5,4,7,Élevé,8.8,4,Stable,16.91,20.0,1
63,22,M,M1,7.7,8.2,89.4,99.0,2,8,Moyen,8.0,1,Instable,12.34,6.27,0
64,24,F,M2,12.1,5.1,67.7,64.0,2,9,Moyen,5.5,0,Stable,9.36,3.14,0
65,25,F,L3,7.3,7.0,73.6,59.2,5,8,Élevé,7.4,6,Stable,8.2,6.1,0
66,25,M,L3,2.7,15.3,75.9,34.0,3,6,Élevé,7.4,2,Instable,12.88,12.73,1
67,20,M,L3,5.6,14.5,32.8,77.8,7,10,Élevé,5.0,1,Stable,10.61,7.93,0
68,19,M,L2,9.7,12.5,56.8,80.3,4,7,Bas,3.7,1,Stable,11.06,17.54,1
69,26,M,L2,9.2,6.4,68.0,70.7,3,8,Bas,2.9,3,Instable,10.75,7.74,0
70,21,F,L1,3.3,15.8,54.2,89.2,1,8,Moyen,6.6,6,Instable,13.07,13.16,1
71,17,M,L3,5.8,5.9,95.4,69.9,5,7,Moyen,7.0,1,Instable,11.87,15.37,1
72,17,M,L1,6.3,17.8,88.2,81.3,6,8,Moyen,4.4,1,Stable,12.8,14.09,1
73,17,F,L1,6.9,26.3,76.9,52.2,7,7,Bas,8.4,0,Stable,17.06,20.0,1
74,24,M,L2,3.9,13.8,80.5,53.2,5,7,Moyen,6.8,5,Instable,13.05,7.68,0
75,22,M,L2,6.1,14.9,92.0,84.4,7,9,Bas,8.9,2,Stable,14.0,13.44,1
76,25,F,L1,5.8,9.5,74.7,43.2,1,8,Moyen,7.2,5,Stable,9.69,3.78,0
77,19,F,M1,10.3,2.9,80.4,64.6,3,7,Élevé,4.6,0,Stable,10.01,14.55,1
78,22,F,M1,10.4,9.0,79.8,49.8,3,7,Moyen,7.3,0,Stable,15.91,19.08,1
79,25,F,L1,7.6,6.5,80.3,75.7,8,7,Moyen,7.7,2,Limité,10.44,7.54,0
80,20,M,L1,6.8,4.8,82.3,45.8,4,6,Bas,5.5,0,Stable,10.81,5.95,0
81,24,F,L2,8.4,20.6,51.1,76.0,8,9,Bas,3.9,5,Stable,10.97,15.21,1
82,18,F,L3,5.6,13.4,61.2,42.5,5,9,Moyen,6.7,4,Limité,13.52,13.31,1
83,20,F,M1,4.6,13.9,78.5,56.4,5,7,Moyen,4.7,4,Limité,14.33,17.92,1
84,20,F,L1,5.2,10.5,78.6,76.2,6,7,Bas,8.5,1,Stable,13.87,14.12,1
85,17,F,L3,6.1,11.1,55.5,89.6,9,6,Élevé,5.8,3,Limité,12.49,12.57,1
86,24,F,L1,4.5,16.8,76.4,69.8,7,9,Moyen,9.6,2,Stable,14.01,17.1,1
87,19,M,L2,8.5,11.8,64.6,42.3,2,8,Élevé,2.7,1,Instable,10.96,6.7,0
88,22,F,M2,10.2,14.7,57.9,81.2,4,7,Moyen,6.7,3,Stable,14.56,13.24,1
89,24,M,L1,3.2,11.0,91.2,71.8,5,9,Élevé,9.1,3,Stable,14.56,10.09,1
90,24,F,L1,8.1,10.3,69.1,42.1,3,8,Bas,4.9,1,Stable,8.14,9.31,0
91,25,F,L2,7.3,5.0,57.9,73.0,4,7,Bas,6.2,1,Instable,9.53,10.8,1
92,21,F,L3,9.0,2.1,90.8,88.1,6,9,Élevé,5.8,4,Stable,9.11,10.49,1
93,19,F,M1,8.0,10.7,51.3,77.1,4,8,Élevé,5.3,0,Stable,11.73,13.79,1
94,21,M,M2,3.6,12.3,80.9,47.2,4,9,Moyen,6.9,5,Instable,13.33,11.07,1
95,17,F,L1,4.2,5.6,83.0,86.5,7,6,Bas,4.2,2,Stable,8.11,12.16,1
96,17,F,L1,8.1,11.8,53.3,34.3,4,9,Moyen,6.3,3,Limité,10.98,12.91,1
97,17,M,L3,11.1,12.3,96.7,89.0,4,9,Moyen,7.4,4,Stable,14.5,20.0,1
98,17,M,L1,1.4,1.2,77.8,89.0,2,10,Élevé,6.1,3,Stable,9.35,12.4,1
99,23,M,M1,9.0,7.4,93.8,86.8,4,10,Moyen,4.7,2,Stable,13.13,11.56,1
100,17,F,L3,11.6,14.0,55.1,25.9,8,9,Bas,8.4,6,Stable,13.49,13.09,1
101,20,M,L1,7.5,13.9,64.2,79.9,10,7,Moyen,7.8,2,Stable,13.1,16.43,1
102,28,F,M1,9.7,6.2,78.4,38.7,5,10,Moyen,4.6,3,Stable,10.49,3.38,0
103,20,M,L1,5.9,12.8,79.6,81.8,4,8,Moyen,4.2,6,Instable,14.09,6.57,0
104,25,F,L2,7.6,17.1,85.6,52.9,4,9,Moyen,4.8,1,Stable,18.53,13.64,1
105,17,M,L2,3.1,15.9,58.6,73.9,3,8,Élevé,7.5,4,Stable,13.78,12.55,1
106,20,F,L2,1.0,11.5,93.9,88.8,7,10,Bas,7.0,2,Instable,14.25,13.27,1
107,17,M,L3,10.8,9.7,67.7,46.6,5,7,Moyen,7.9,3,Stable,11.8,4.94,0
108,20,F,L3,5.0,8.9,65.6,71.6,5,7,Moyen,5.9,2,Instable,11.04,10.08,1
109,26,F,M2,6.6,14.3,98.8,76.3,7,7,Moyen,4.8,2,Limité,15.12,14.62,1
110,17,F,M2,3.8,13.0,65.8,76.5,5,9,Élevé,8.2,1,Stable,15.73,20.0,1
111,24,F,L2,3.8,15.1,77.8,54.0,3,6,Moyen,5.5,1,Instable,12.79,20.0,1
112,23,M,L1,7.5,12.7,52.2,37.8,6,7,Moyen,6.8,3,Limité,12.58,12.75,1
113,19,M,L3,5.8,16.1,80.3,61.4,2,9,Bas,3.7,1,Stable,14.09,11.25,1
114,17,M,M2,9.1,12.5,66.5,29.6,7,8,Moyen,5.5,3,Limité,9.57,10.76,1
115,22,M,L2,9.4,15.9,17.4,73.0,7,7,Bas,8.3,4,Stable,8.9,7.83,0
116,19,F,L2,9.0,16.4,45.3,86.9,5,8,Bas,5.2,5,Stable,10.31,7.55,0
117,23,F,L2,8.7,8.0,67.3,60.4,5,8,Moyen,8.0,2,Stable,11.55,7.34,0
118,22,F,L1,12.7,3.0,60.5,76.6,1,7,Moyen,2.3,5,Stable,7.51,0.41,0
119,30,F,L3,4.8,19.7,83.6,44.7,6,10,Élevé,5.5,3,Limité,14.15,13.9,1
120,20,F,L2,7.8,13.3,36.6,50.2,6,5,Moyen,6.2,4,Stable,11.81,12.26,1
121,17,F,L3,11.4,3.4,90.9,49.6,9,9,Élevé,9.6,3,Limité,12.61,13.74,1
122,22,M,M1,11.8,8.4,75.9,59.7,4,10,Moyen,4.4,3,Instable,13.38,18.5,1
123,23,M,M1,3.7,15.9,58.8,55.7,3,10,Moyen,7.7,4,Limité,12.79,14.96,1
124,28,F,L2,7.1,10.6,81.7,68.2,3,8,Élevé,8.4,6,Limité,12.13,12.18,1
125,26,F,L2,12.1,9.4,85.4,67.9,2,6,Moyen,5.2,3,Stable,13.25,10.29,1
126,23,M,L3,9.5,19.0,69.1,83.6,8,6,Élevé,5.8,3,Limité,13.44,9.46,0
127,29,M,M1,8.6,6.8,89.9,52.5,4,6,Moyen,6.8,5,Instable,11.7,6.75,0
128,17,F,L2,7.3,8.0,64.5,94.4,6,7,Bas,3.8,2,Stable,9.78,4.79,0
129,18,M,M1,6.8,13.1,63.6,41.0,6,8,Moyen,5.7,4,Instable,9.45,0.0,0
130,17,M,L1,8.9,14.0,93.3,88.7,2,8,Bas,8.8,4,Stable,14.84,11.42,1
131,20,F,M1,7.2,14.5,90.2,54.1,5,10,Bas,7.4,4,Stable,13.77,20.0,1
132,17,F,L1,7.9,16.6,94.6,63.8,5,6,Bas,6.2,2,Stable,15.33,17.42,1
133,25,M,L1,8.2,13.0,52.0,77.7,3,8,Bas,6.7,1,Stable,11.78,10.26,1
134,20,F,L2,6.0,14.4,83.8,92.9,5,8,Moyen,7.5,3,Stable,15.95,17.76,1
135,17,M,L1,9.6,10.7,82.6,44.5,6,8,Élevé,7.9,1,Stable,11.72,4.52,0
136,17,F,L1,16.7,12.3,62.3,48.6,7,6,Moyen,5.5,6,Instable,10.43,8.66,0
137,23,M,L1,2.7,12.5,65.6,72.8,5,9,Élevé,9.3,3,Instable,10.96,16.33,1
138,26,F,L2,9.0,13.1,53.0,61.6,4,7,Moyen,8.9,1,Limité,10.32,10.65,1
139,31,M,L3,5.7,15.9,73.5,58.0,6,7,Bas,7.7,4,Limité,12.72,5.29,0
140,36,M,L1,9.7,14.8,79.0,27.2,8,6,Bas,5.0,6,Limité,12.81,8.38,0
141,24,F,L3,8.1,12.2,74.8,90.0,1,10,Élevé,4.7,5,Instable,12.85,15.91,1
142,17,M,M1,10.3,8.0,75.0,80.0,4,9,Moyen,5.9,2,Stable,11.57,11.61,1
143,17,M,L1,11.5,12.3,58.0,90.1,5,8,Élevé,6.6,3,Limité,9.57,3.35,0
144,23,M,L1,8.6,11.9,65.1,91.2,8,6,Moyen,3.3,6,Stable,12.74,18.3,1
145,17,F,M1,11.4,13.0,69.9,61.7,5,5,Moyen,7.4,3,Stable,13.85,8.04,0
146,19,F,M1,1.0,23.0,67.5,78.4,4,7,Moyen,8.8,2,Stable,14.68,16.01,1
147,18,F,L2,12.8,9.4,75.1,64.3,3,9,Élevé,7.5,2,Stable,13.58,9.13,0
148,21,M,M1,9.1,14.1,87.7,74.2,5,9,Bas,5.3,2,Instable,14.67,10.6,1
149,27,M,L1,11.2,17.3,64.1,95.3,2,7,Élevé,5.1,3,Stable,13.01,10.91,1
150,22,M,L2,4.3,12.5,91.5,69.2,4,9,Moyen,7.0,0,Instable,14.93,18.72,1
151,21,F,L3,5.5,23.7,92.4,69.4,6,7,Élevé,6.2,3,Stable,17.82,20.0,1
152,17,F,L1,8.4,10.1,56.3,60.0,3,6,Moyen,7.3,4,Stable,10.99,7.33,0
153,17,F,L3,7.9,13.6,47.7,53.7,1,8,Moyen,7.6,3,Stable,11.17,6.29,0
154,19,F,L2,8.8,8.0,80.0,88.2,6,8,Moyen,8.5,4,Stable,10.94,12.01,1
155,21,M,L3,11.3,10.2,73.3,42.5,6,10,Élevé,4.5,3,Instable,8.4,8.91,0
156,30,F,L2,2.7,13.2,84.9,40.6,7,8,Bas,6.9,4,Stable,14.29,14.01,1
157,22,M,L2,10.9,16.2,80.9,89.5,1,7,Moyen,5.8,4,Stable,13.56,14.29,1
158,26,M,L1,8.0,13.6,85.8,39.6,3,8,Moyen,6.3,8,Stable,14.22,10.61,1
159,19,M,L1,7.4,18.3,73.0,54.7,5,9,Moyen,8.1,0,Instable,15.78,18.47,1
160,17,M,L3,3.6,11.5,81.4,69.0,5,9,Moyen,8.3,5,Limité,12.1,10.37,1
161,17,M,L1,9.5,10.3,56.1,43.3,12,9,Moyen,9.0,2,Instable,12.23,16.23,1
162,18,M,L1,1.0,25.5,70.5,85.7,8,7,Moyen,7.3,1,Stable,17.45,20.0,1
163,32,M,L1,9.9,14.0,71.9,75.8,7,7,Moyen,6.3,1,Limité,13.38,14.51,1
164,17,F,L1,3.5,8.4,77.4,54.0,3,8,Moyen,6.0,4,Stable,10.92,8.51,0
165,26,M,M1,8.2,8.5,43.3,85.2,3,8,Moyen,3.4,2,Stable,11.0,9.09,0
